step,epoch,lr,loss,l1,mse,ssim_loss,edge,ghost_loss,hf_loss,val_loss,psnr,ssim,ink_err,bg_err,ghost,ghost_keep,sec_per_step,elapsed_min,cost_yuan
20,1,4e-06,1.8890355784956765,1.4304933547973633,0.39364123344421387,0.7354186773300171,0.42537936568260193,0.09452832490205765,0.0,0.8241196498274803,12.12459103266398,0.42607226471106213,0.2687906704165719,0.19432535564357584,0.11216647245667198,0.4541685337370092,0.8681321144104004,0.44808250665664673,0.014936083555221557
40,1,8e-06,1.6838261518161066,1.0308160781860352,0.19341807067394257,0.6186554431915283,0.4301641583442688,0.16902509331703186,0.0,0.6345045367876688,14.003578742345175,0.5339719628294309,0.23382152887907895,0.13580354370854117,0.12724769149314274,0.530305030671033,0.8700573444366455,0.7669024149576823,0.025563413831922743
60,1,1.2e-05,1.5102756070988015,0.7508641481399536,0.09891173243522644,0.6127955913543701,0.42601680755615234,0.11968044191598892,0.0,0.5675254166126251,14.847039461135864,0.5798341184854507,0.23411406170238147,0.11195258322087201,0.14362864805893463,0.6095460599119013,0.8729112148284912,1.0874364773432414,0.03624788257810804
80,1,1.6e-05,1.371151969613051,0.9358265399932861,0.1560579091310501,0.4503442645072937,0.28778037428855896,0.10723152756690979,0.0,0.5113947863380114,15.199958244959513,0.6253019918998083,0.21998332576318222,0.09483328241516244,0.14370558207685297,0.6220707595348358,0.8722167015075684,1.3972911794980367,0.046576372649934555
100,1,2e-05,1.2543726705514489,0.929733395576477,0.1422410011291504,0.5492815375328064,0.40603646636009216,0.11545713245868683,0.0,0.48750262210766476,15.249845584233602,0.6330324014027914,0.21295331621711905,0.08450368283824487,0.14087493446740237,0.6209664398973639,0.8810608386993408,1.7033010800679524,0.05677670266893175
120,1,2.4e-05,1.1407833181736415,0.547910749912262,0.0670890137553215,0.454192578792572,0.3994280993938446,0.14420337975025177,0.0,0.48461969941854477,15.331045389175415,0.6435013686617216,0.20563588765534488,0.08397872153330933,0.13756869733333588,0.5979527668519453,0.87957763671875,2.0327133496602374,0.06775711165534125
140,1,2.8e-05,1.0428770255262425,0.5140817165374756,0.05304750055074692,0.4436238408088684,0.3943036198616028,0.1763399988412857,0.0,0.5402763709425926,16.00169285138448,0.6520172680417696,0.2694444995034825,0.0950742628086697,0.18927652592008765,0.8259095874699679,0.8748533725738525,2.352539527416229,0.07841798424720764
160,1,3.2e-05,0.955654379593294,0.5816314220428467,0.05971011146903038,0.43312084674835205,0.3749874532222748,0.18032078444957733,0.0,0.6095674435297648,15.682458400726318,0.6389051924149195,0.294800342483954,0.11359725520014763,0.19997998530214484,0.8607414744117043,0.8680665493011475,2.6541247566541037,0.08847082522180345
180,1,3.6e-05,0.8895261316431028,0.47813737392425537,0.04171561449766159,0.3263428807258606,0.32469481229782104,0.19713430106639862,0.0,0.6438791404167811,15.489075342814127,0.6382277061541876,0.2994411289691925,0.12335718897255984,0.19908087836070495,0.8543242297389291,0.8970341682434082,2.960189414024353,0.09867298046747844
200,1,4e-05,0.8195405468562521,0.492990642786026,0.049535464495420456,0.38752639293670654,0.29813992977142334,0.12346537411212921,0.0,0.6544838597377142,14.999778985977173,0.6321439146995544,0.2708860540931875,0.13136239045045592,0.16824056885459207,0.7115162556821649,0.8743267059326172,3.2682611385981244,0.1089420379532708
220,2,4.4000000000000006e-05,0.7932231708545592,0.5283629894256592,0.044521819800138474,0.32686060667037964,0.2628041207790375,0.11177379637956619,0.0,0.5931242232521375,15.603180011113485,0.6401442239681879,0.2491546090353619,0.11057348498566584,0.16411338136954742,0.6992875825275074,0.8770856857299805,3.5851457277933756,0.11950485759311252
240,2,4.8e-05,0.7544320962870045,0.4467828571796417,0.04417993873357773,0.4625539779663086,0.3623253107070923,0.10590013861656189,0.0,0.6416053175926208,15.552209377288818,0.6437113558252653,0.27416904406114057,0.1222996674478054,0.17967112023722043,0.7619920643893155,0.89223313331604,3.9124040842056274,0.13041346947352092
260,2,5.2000000000000004e-05,0.7544340714528739,0.6575726270675659,0.060472648590803146,0.3635784387588501,0.2878239154815674,0.12605513632297516,0.0,0.6026369333267212,15.730260451634726,0.6507812912265459,0.25830683179877023,0.10867417214268987,0.17355297234925357,0.7430017563429746,0.9030711650848389,4.223828935623169,0.14079429785410563
280,2,5.6e-05,0.743692782050532,0.45983821153640747,0.04239664599299431,0.3965964913368225,0.32253122329711914,0.1537993997335434,0.0,0.5784917548298836,15.437938451766968,0.6503795435031255,0.22163077850233426,0.10401389375329018,0.14577967741272665,0.6217954836108468,0.8809909820556641,4.529196866353353,0.1509732288784451
300,2,6e-05,0.7387087919274615,0.6505409479141235,0.06522524356842041,0.3686133623123169,0.3207079768180847,0.12532219290733337,0.0,0.5475081006685892,15.077754735946655,0.6400294899940491,0.18789546530355106,0.09671760502864014,0.10173442925919186,0.4336323832923716,0.9131529331207275,4.850596698125203,0.16168655660417344
320,2,6.4e-05,0.7259679243955263,0.5331137180328369,0.07310321927070618,0.5114418268203735,0.3230670094490051,0.07618442922830582,0.0,0.637316420674324,14.989979346593222,0.6297037477294604,0.2111919420686635,0.1238853707909584,0.12202116872437975,0.5051948353648186,0.9445323944091797,5.19546130100886,0.173182043366962
340,2,6.8e-05,0.7115805308302714,0.37174540758132935,0.03521193191409111,0.33306944370269775,0.24946193397045135,0.1373847872018814,0.0,0.6899758527676264,15.113004922866821,0.6258696466684341,0.23881760104136032,0.1343958523463119,0.13848495576530695,0.5774297991936858,0.9111535549163818,5.523250651359558,0.1841083550453186
360,2,7.2e-05,0.7362814096703649,0.5112812519073486,0.045039281249046326,0.4418049454689026,0.3487831950187683,0.1151493638753891,0.0,0.5437140638629595,14.415083169937134,0.609367681046327,0.14793129366907207,0.09513186358592728,0.06274170902642337,0.266110743988644,0.9394633769989014,5.839683131376902,0.1946561043792301
380,2,7.6e-05,0.7208975444629264,0.3973392844200134,0.035307399928569794,0.39478713274002075,0.27355650067329407,0.07738208025693893,0.0,0.5253285566965739,14.035813331604004,0.5900740151604017,0.13384848697619003,0.08601154319264671,0.03930150467733091,0.17731645601716908,0.9216172695159912,6.166477636496226,0.2055492545498742
400,2,8e-05,0.7224179031280227,0.43824002146720886,0.03417647257447243,0.22406059503555298,0.22931498289108276,0.10037894546985626,0.0,0.6757730667789777,15.022432724634806,0.617255282898744,0.20712377537380566,0.1289616156030785,0.11181721032004464,0.46886925771832466,0.9177935123443604,6.5520660003026325,0.21840220001008775
420,2,8.400000000000001e-05,0.6932436593102714,0.4518134891986847,0.0455000214278698,0.36749428510665894,0.30830058455467224,0.1089569553732872,0.0,0.6091704542438189,14.997282028198242,0.6158520554502805,0.1756383634426377,0.11011966046961871,0.09039085836742412,0.3798309573057023,0.9339079856872559,6.886802768707275,0.22956009229024252
440,3,8.800000000000001e-05,0.681954616566337,0.2794950008392334,0.03727063164114952,0.41127586364746094,0.343967080116272,0.10554596036672592,0.0,0.6978082184990247,15.136380434036255,0.6219906633098921,0.22271497683091598,0.13209108297120442,0.12448656152595174,0.516099604693326,0.912268877029419,7.223271318276724,0.24077571060922412
460,3,9.2e-05,0.7176457354824164,0.4423013925552368,0.038372479379177094,0.3132248520851135,0.2601519525051117,0.06748814135789871,0.0,0.539011262357235,14.742617130279541,0.620447946091493,0.15945832092653622,0.08474411781538617,0.07120818627828901,0.3067100847309286,0.9510824680328369,7.5408454775810245,0.25136151591936745
480,3,9.6e-05,0.7283888589537961,0.58169025182724,0.06287981569766998,0.3294365406036377,0.3184381425380707,0.07502876222133636,0.0,0.7673454905549685,14.685046990712484,0.6212689305345217,0.24481924487785858,0.14862863719463348,0.1279757877134464,0.5238130041821436,0.9246907234191895,7.865566662947336,0.2621855554315779
500,3,0.0001,0.7249097039947966,0.4511866569519043,0.0417354516685009,0.4369426369667053,0.33568570017814636,0.0963016226887703,0.0,0.7240108326077461,14.71846572558085,0.6199624960621198,0.21269254115494815,0.1407608064738187,0.10489970225502145,0.4248538657345555,0.9277133941650391,8.188538746039074,0.27295129153463576
520,3,9.999976809367767e-05,0.7536232865398628,0.37614718079566956,0.02854294888675213,0.30910205841064453,0.23772966861724854,0.07732447236776352,0.0,0.6623336027065913,15.069580634435018,0.6266853536168734,0.18454216894778339,0.12042942914095792,0.09911921467970718,0.397476807913997,0.9333033561706543,8.525434911251068,0.28418116370836893
540,3,9.999902291237878e-05,0.7208356024667986,0.44636270403862,0.06411448121070862,0.3573492765426636,0.3051608204841614,0.0649477168917656,0.0,0.6792178899049759,14.693486213684082,0.6050824845830599,0.16702653399922632,0.12872055917978287,0.08168578156354753,0.31898813745514915,0.9494709968566895,8.845235963662466,0.29484119878874887
560,3,9.999776382143972e-05,0.7037991402431649,0.4781748652458191,0.037331875413656235,0.302984356880188,0.2491006851196289,0.08073271811008453,0.0,0.6705964530507723,15.293961763381958,0.6312516406178474,0.19409412958405234,0.1162348266013644,0.1125203323635188,0.45348846776918933,0.9205257892608643,9.161343884468078,0.3053781294822693
580,3,9.999599083393261e-05,0.6950337158187859,0.6206261515617371,0.06543312221765518,0.35110437870025635,0.2500123679637909,0.09125812351703644,0.0,0.8298845589160919,14.319741566975912,0.6084098815917969,0.25590330294587393,0.15896087647839027,0.1315253246575594,0.5392921106381849,0.9071476459503174,9.481454451878866,0.3160484817292955
600,3,9.999370396826499e-05,0.6812038748472727,0.3958548605442047,0.03311876580119133,0.3487655520439148,0.2844555675983429,0.04486198350787163,0.0,0.6976960400740305,14.889233907063803,0.5945015872518221,0.1705143770033663,0.13207340105013413,0.08193650579249318,0.33015420321713795,0.9707973003387451,9.806235440572102,0.32687451468573675
620,3,9.999090324817962e-05,0.698965742819193,0.5020803213119507,0.032141007483005524,0.31302112340927124,0.24323397874832153,0.08493032306432724,0.0,0.7501241515080134,14.478909889856974,0.5800359323620796,0.17954714934934268,0.14959688620133835,0.0859445702411573,0.34293249605054205,0.9158978462219238,10.131998006502787,0.33773326688342625
640,3,9.998758870275418e-05,0.7172661387705237,0.5245673060417175,0.04931871220469475,0.4406501054763794,0.29743462800979614,0.09886359423398972,0.0,0.7923725545406342,14.680698792139689,0.5955465783675512,0.23503727262670343,0.13767862861806696,0.13632798516614872,0.5619359890168364,0.9084281921386719,10.443405417601268,0.34811351392004225
660,4,9.998376036640098e-05,0.7046484089997258,0.5617032647132874,0.06962448358535767,0.3616045117378235,0.38234496116638184,0.0782664567232132,0.0,0.569543311993281,14.004634618759155,0.58200653642416,0.10564723018218171,0.09801314534111456,0.0343257667475634,0.13244119201871482,0.8975429534912109,10.755318482716879,0.3585106160905626
680,4,9.997941827886669e-05,0.6951528490142093,0.4531417191028595,0.03669067099690437,0.4765095114707947,0.33341020345687866,0.061175353825092316,0.0,0.6800857285658518,14.260901292165121,0.5674538140495619,0.14011790298602797,0.12863910096612843,0.04442487354390323,0.17355713705447587,0.9114630222320557,11.065257370471954,0.36884191234906516
700,4,9.997456248523176e-05,0.701421640066059,0.3982389271259308,0.043829724192619324,0.37985724210739136,0.310301810503006,0.046173516660928726,0.0,0.6164959544936816,14.600563049316406,0.6011527106165886,0.13600053164091977,0.09993183578957211,0.05619529499249025,0.23385317318818785,0.9136197566986084,11.381194845835369,0.3793731615278456
720,4,9.996919303591011e-05,0.690798162548828,0.41913101077079773,0.033813051879405975,0.381511390209198,0.2615707814693451,0.09268078953027725,0.0,0.5712532922625542,14.688604990641275,0.6143016989032427,0.12063968655737964,0.09137248518792065,0.055886847072873606,0.23322580043565144,0.9066216945648193,11.704568791389466,0.3901522930463155
740,4,9.996330998664856e-05,0.6812788102222291,0.304223895072937,0.019401587545871735,0.3000033497810364,0.18964168429374695,0.06680934876203537,0.0,0.6680315062403679,14.345810015996298,0.5717987169822057,0.13715519959276373,0.12021101841872389,0.041314374316822396,0.16754918456585569,0.9656660556793213,12.029907774925231,0.40099692583084107
760,4,9.995691339852618e-05,0.6762080748684545,0.3146526515483856,0.027909204363822937,0.32572221755981445,0.23308444023132324,0.038791097700595856,0.0,0.7136758292714754,14.535408099492392,0.5815036445856094,0.15729074315591293,0.1294307102533904,0.06594176577742804,0.26104405285282567,0.9188520908355713,12.357772727807363,0.41192575759357875
780,4,9.995000333795375e-05,0.6648552885567777,0.4549633264541626,0.03543693572282791,0.42632657289505005,0.35144925117492676,0.08971188962459564,0.0,0.63966636856397,14.9486133257548,0.6124466235438982,0.15882152556018395,0.10546700758012859,0.06822903441603888,0.29097274657000194,0.9336757659912109,12.676944156487783,0.42256480521625944
800,4,9.994257987667302e-05,0.6806386733437654,0.5490729808807373,0.05230101943016052,0.4891397953033447,0.3581491708755493,0.04139246791601181,0.0,0.8478650003671646,14.117656230926514,0.586729533970356,0.20489329438317905,0.1707471910525452,0.09457032462920655,0.3796806012026288,0.9254302978515625,12.997198096911113,0.43323993656370374
820,4,9.993464309175599e-05,0.675177166213409,0.4538247585296631,0.04233863204717636,0.5017341375350952,0.3808828294277191,0.041076306253671646,0.0,0.8311107605695724,13.658137957255045,0.5362271219491959,0.15138933130285956,0.17547840760512787,0.059369723217307845,0.23159921647642145,0.9628973007202148,13.334079400698345,0.44446931335661144
840,4,9.99261930656041e-05,0.6810228075590735,0.6606563329696655,0.06866257637739182,0.456576943397522,0.30524614453315735,0.06477778404951096,0.0,0.7040020599961281,14.679526885350546,0.5891299645105997,0.14524568143216046,0.13136757537722588,0.060393039846200154,0.24009011749347503,0.9465160369873047,13.65645622809728,0.4552152076032427
860,5,9.991722988594734e-05,0.6733419515585701,0.41482457518577576,0.051556169986724854,0.4074797034263611,0.3235091269016266,0.04412419721484184,0.0,0.7858238890767097,14.013923327128092,0.5519168302416801,0.14463232694701714,0.15105454081838782,0.06501020323908464,0.24933592829091306,0.9245645999908447,13.984518233935038,0.4661506077978346
880,5,9.990775364584341e-05,0.6649207608147848,0.37452998757362366,0.037095725536346436,0.30710315704345703,0.2948852777481079,0.0859629213809967,0.0,0.6490941072503725,14.121368408203125,0.571221761405468,0.11735524592751806,0.1150129230862314,0.028870227045527743,0.12235486289930785,0.9193861484527588,14.31153842608134,0.477051280869378
900,5,9.98977644436767e-05,0.6551491007368788,0.3962879776954651,0.04052085801959038,0.4073185324668884,0.3263106644153595,0.03840915113687515,0.0,0.7532523473103842,14.448550939559937,0.5858904321988424,0.1581534914333712,0.13149346817623486,0.07195133419802667,0.30803719719617884,0.9273936748504639,14.627701870600383,0.48759006235334607
920,5,9.988726238315726e-05,0.6766296398722521,0.5948173403739929,0.06570498645305634,0.3799779415130615,0.27448391914367676,0.10840305685997009,0.0,0.5851289381583532,14.484163999557495,0.6118701820572218,0.11873665147207,0.08846538412300023,0.04468564037233591,0.19675430079752748,0.9370112419128418,14.947875865300496,0.4982625288433499
940,5,9.987624757331979e-05,0.6779498876767116,0.3691294491291046,0.03398452326655388,0.3144684433937073,0.2772061228752136,0.08078093081712723,0.0,0.6991656770308813,14.406011899312338,0.5604893962542216,0.11219558424570343,0.1305161931297996,0.04687459585362707,0.17458497036502443,0.921942949295044,15.266544485092163,0.5088848161697388
960,5,9.986472012852245e-05,0.7044940809530483,0.799923837184906,0.10753562301397324,0.4357895851135254,0.35165151953697205,0.12820462882518768,0.0,0.7689626552164555,13.381297588348389,0.5426764488220215,0.14632195556028324,0.14285450699654492,0.02319406839656453,0.10350816845576363,0.9044344425201416,15.580268128712971,0.5193422709570991
980,5,9.985268016844567e-05,0.7272869664944503,0.5091023445129395,0.04219230264425278,0.32171857357025146,0.2468080222606659,0.02011089026927948,0.0,0.7726052900155386,14.371446291605631,0.5878592530886332,0.162092578004707,0.1446234868331389,0.06418074049394239,0.2665776562115008,0.9276609420776367,15.896341963609059,0.5298780654536354
1000,5,9.984012781809096e-05,0.7459163670044471,0.44608938694000244,0.050776004791259766,0.4220421314239502,0.4143397808074951,0.08691138029098511,0.0,0.6932851647337278,15.181854248046875,0.6280334119995435,0.15327867391434583,0.11581349034201015,0.0843784522519193,0.34851765751161357,0.9094395637512207,16.21073634624481,0.5403578782081604
1020,5,9.982706320777951e-05,0.7168903119566523,0.37140247225761414,0.030415240675210953,0.3830219507217407,0.28351572155952454,0.0308221448212862,0.0,0.6111686527729034,14.189030170440674,0.5651941982408365,0.09938088025559079,0.10270066660913554,0.027759162291080098,0.11340689157474447,0.9648711681365967,16.546970081329345,0.5515656693776448
1040,5,9.9813486473151e-05,0.7038804634432342,0.40834301710128784,0.04260001704096794,0.4833758473396301,0.367863267660141,0.0599093958735466,0.0,0.9147062649329504,13.207451423009237,0.5274585609634718,0.17050254277207635,0.19898232241923158,0.05688326555007899,0.22143803227862174,0.9424057006835938,16.89247235854467,0.5630824119514889
1060,5,9.979939775516204e-05,0.6988146193083079,0.3649829924106598,0.03770042210817337,0.44386792182922363,0.35625705122947693,0.03960419446229935,0.0,0.7233548586567243,14.267234563827515,0.56667992969354,0.12034475041384046,0.13994630493900992,0.04561488355763934,0.1819391083818945,0.9580769538879395,17.21814943552017,0.5739383145173391
1080,6,9.978479720008475e-05,0.6974287250581188,0.38148555159568787,0.03514806926250458,0.4006809592247009,0.3504812717437744,0.09343602508306503,0.0,0.7231504172086716,15.287821133931478,0.6173705011606216,0.1730848096988418,0.11975677175955339,0.09847424060783604,0.40520023622296075,0.9555976390838623,17.566235744953154,0.5855411914984385
1100,6,9.976968495950528e-05,0.6820836695716582,0.41882234811782837,0.03438110277056694,0.2963012456893921,0.21347886323928833,0.04508636146783829,0.0,0.8439629748463631,13.979772885640463,0.5482971866925558,0.1610069637271491,0.16777188737284054,0.07175479505465111,0.28837855016304687,0.9143400192260742,17.894045929114025,0.5964681976371341
1120,6,9.97540611903222e-05,0.679995435819421,0.33467650413513184,0.03515675663948059,0.3406616449356079,0.27321040630340576,0.023186149075627327,0.0,0.6638156945506731,14.108896493911743,0.5580796102682749,0.10590776140716943,0.11949438804929907,0.026021483592392706,0.10790567243979736,0.9122359752655029,18.217994916439057,0.6072664972146352
1140,6,9.973792605474489e-05,0.677220429402397,0.6903274059295654,0.07391943782567978,0.4467059373855591,0.3493998050689697,0.02966265007853508,0.0,0.7029927571614584,13.87567146619161,0.5300034396350384,0.113387461328371,0.12666222791780124,0.01971244148179804,0.0790329664225944,1.0205605030059814,18.545357942581177,0.6181785980860393
1160,6,9.972127972029187e-05,0.6703452625107426,0.38363775610923767,0.03676503151655197,0.4012790322303772,0.2827610373497009,0.05759197473526001,0.0,0.6705949405829111,14.773916165033976,0.577462928990523,0.12879687784747643,0.11596349288116801,0.053074954289265654,0.21651688014919107,1.008714199066162,18.884629635016122,0.6294876545005375
1180,6,9.970412235978896e-05,0.667000952793972,0.3980010747909546,0.04896508902311325,0.3738636374473572,0.32904157042503357,0.02117716334760189,0.0,0.7112343137462934,14.19434642791748,0.5506110029915968,0.10430452964183959,0.13587746532125908,0.04200492753245106,0.16429270501248538,0.9483778476715088,19.22388130823771,0.6407960436079237
1200,6,9.968645415136764e-05,0.6590079721710126,0.3924735486507416,0.04163018986582756,0.40866637229919434,0.28472375869750977,0.04464688524603844,0.0,0.632870347549518,14.36208995183309,0.5637258564432462,0.09997290686111558,0.10913203690539706,0.03563201462913474,0.14170431629331273,0.9432790279388428,19.5621213555336,0.65207071185112
1220,6,9.96682752784631e-05,0.6679004103274345,0.5781415700912476,0.05215606838464737,0.4521991014480591,0.33934077620506287,0.05369764193892479,0.0,0.8101418117682139,14.254565795262655,0.5843004087607065,0.17201827805150638,0.1546660102903843,0.07764461454512044,0.3126510930332271,0.9467263221740723,19.898120852311454,0.6632706950770484
