step,epoch,lr,loss,l1,mse,ssim_loss,edge,ghost_loss,hf_loss,val_loss,psnr,ssim,ink_err,bg_err,ghost,ghost_keep,sec_per_step,elapsed_min,cost_yuan
20,1,8e-05,2.3595016583155703,1.0875508785247803,0.2067500799894333,0.6145244240760803,0.5005111694335938,0.1536993533372879,0.0,0.5131812120477358,14.584877173105875,0.5666917189955711,0.2269469052553177,0.09356165609576485,0.14724891632795334,0.6517314978621223,0.16306090354919434,0.20808361768722533,0.006936120589574178
40,1,0.00016,1.9323437933827012,0.8094024658203125,0.14287330210208893,0.49482661485671997,0.33712705969810486,0.20050416886806488,0.0,0.48493606845537823,15.3840225537618,0.6232026442885399,0.22882302037694238,0.08721962181681936,0.15569175712086938,0.6905197934670881,0.16310381889343262,0.2760075847307841,0.00920025282435947
60,1,0.00019999990007089986,1.5902583065710647,0.7497972846031189,0.06981661170721054,0.5124650001525879,0.3564978241920471,0.20898105204105377,0.0,0.4601897969841957,14.163023710250854,0.5960836236675581,0.1546792509880933,0.0791529809886759,0.05514319418844851,0.25221120430664584,0.16350722312927246,0.34287080764770506,0.011429026921590169
80,1,0.00019999896246615767,1.2992834594329508,0.5209401249885559,0.047741733491420746,0.42783206701278687,0.3355414867401123,0.14978903532028198,0.0,0.5762483924627304,15.290437698364258,0.6378717149297396,0.2819758199832656,0.11000396345149387,0.1865391047163443,0.8276552395387129,0.16334772109985352,0.4079339027404785,0.013597796758015951
100,1,0.00019999703791828206,1.1350873754499526,0.5606692433357239,0.058689724653959274,0.37799179553985596,0.31307756900787354,0.11142462491989136,0.0,0.5292431811491648,16.222326914469402,0.6563493410746256,0.2818504957990213,0.09543005292388526,0.20400355688550256,0.8939009606838226,0.1632845401763916,0.47357773780822754,0.015785924593607583
120,1,0.00019999412644636293,1.0470851482523253,0.612775444984436,0.0555972084403038,0.412722110748291,0.280661404132843,0.1400739550590515,0.0,0.47778315593798953,14.939911365509033,0.6426105250914892,0.198314600370147,0.08286188475110313,0.11826827173883264,0.5258906578475778,0.16369080543518066,0.5580989599227906,0.018603298664093017
140,1,0.00019999022807927944,0.9383257025324382,0.5391182899475098,0.051877766847610474,0.34033286571502686,0.2593165636062622,0.17272959649562836,0.0,0.5706025908390681,15.233386913935343,0.6514070083697637,0.27033873173323547,0.104404920542782,0.1735585511408069,0.7636363831433383,0.1649949550628662,0.6185587684313456,0.02061862561437819
160,1,0.00019998534285570012,0.860084979367787,0.46106335520744324,0.04059494286775589,0.3591254949569702,0.27162429690361023,0.22182343900203705,0.0,0.66671405484279,14.991523742675781,0.6375386317571005,0.29063107818365097,0.1351259404962713,0.18539786677468906,0.7837069630622864,0.1634678840637207,0.6795559008916219,0.022651863363054064
180,1,0.00019997947082408206,0.7959767375412257,0.5150771141052246,0.060320958495140076,0.38518911600112915,0.32415640354156494,0.17060546576976776,0.0,0.4674532189965248,14.509616613388062,0.631315882007281,0.16793945888904008,0.07579184459014372,0.07366100647910075,0.35129982368512586,0.16362404823303223,0.7399120807647706,0.02466373602549235
200,1,0.00019997261204267072,0.7601233935996913,0.5904574394226074,0.050408244132995605,0.36795365810394287,0.2904942035675049,0.1802370250225067,0.0,0.6583333363135656,15.488743861516317,0.6437167500456175,0.2893852212212302,0.12866520780054005,0.1854807890274308,0.784808180548928,0.16325998306274414,0.7999931295712789,0.026666437652375963
220,2,0.00019996476657949924,0.7308659934793528,0.43921470642089844,0.04870286583900452,0.33040159940719604,0.30065447092056274,0.09190741926431656,0.0,0.5485054751237234,15.211544513702393,0.6447179540991783,0.21039569784294476,0.09966370327906175,0.1271950788795948,0.5427648919549856,0.16354775428771973,0.8694339871406556,0.02898113290468852
240,2,0.00019995593451238784,0.7228682531130739,0.43283572793006897,0.04119429737329483,0.3982638120651245,0.26857760548591614,0.12300276756286621,0.0,0.5378609895706177,14.786529461542765,0.6263730674982071,0.18307248672301119,0.09679498083212158,0.09158204157244075,0.40021186796101654,0.1637256145477295,0.9400183518727621,0.0313339450624254
260,2,0.00019994611592894285,0.7068969082850499,0.38966354727745056,0.05519610643386841,0.5573030710220337,0.4259178340435028,0.1450451761484146,0.0,0.5712692861755689,15.784963130950928,0.6558354571461678,0.22699546407569537,0.10003158873455091,0.14487236433408476,0.6279345994645898,0.16358566284179688,1.0009480237960815,0.03336493412653605
