step,epoch,lr,loss,l1,mse,ssim_loss,edge,val_loss,psnr,ssim,sec_per_step,elapsed_min,cost_yuan
20,1,8e-05,2.359338678058107,1.088077187538147,0.21262788772583008,0.6212318539619446,0.5047985315322876,0.5155323098103205,14.547457774480185,0.5635006775458654,0.1652822494506836,0.221240230401357,0.007374674346711901
40,1,0.00016,1.9256108977952686,0.82683265209198,0.16435877978801727,0.5028765797615051,0.3400307595729828,0.4888967325290044,15.847211122512817,0.6422615995009741,0.1637880802154541,0.2862234393755595,0.00954078131251865
60,1,0.00019999990007089986,1.582134336098423,0.5576415657997131,0.05378691107034683,0.48823869228363037,0.3384435176849365,0.4643297965327899,16.231204668680828,0.6653524860739708,0.1664588451385498,0.35213708877563477,0.011737902959187826
80,1,0.00019999896246615767,1.293592952971572,0.399578720331192,0.03767220675945282,0.4277607202529907,0.3337540328502655,0.5625734403729439,15.457544008890787,0.6427958086133003,0.1646742820739746,0.42525923252105713,0.014175307750701905
100,1,0.00019999703791828206,1.093599443452581,0.5882520079612732,0.07321912050247192,0.392181396484375,0.3126112222671509,0.6401367286841074,14.965686241785685,0.6474055498838425,0.16588521003723145,0.5049703518549601,0.016832345061832003
120,1,0.00019999412644636293,0.9626754929694603,0.5219938158988953,0.04258023947477341,0.3937956690788269,0.27532994747161865,0.49095508456230164,15.803594589233398,0.6745686506231626,0.16729235649108887,0.5892443855603536,0.019641479518678454
140,1,0.00019999022807927944,0.8712215077906801,0.5413408279418945,0.04898881912231445,0.31816238164901733,0.24154210090637207,0.4319412211577098,16.492114782333374,0.694283793369929,0.16558265686035156,0.6522337436676026,0.021741124788920086
160,1,0.00019998534285570012,0.8109542379976766,0.45466333627700806,0.036448463797569275,0.3408139944076538,0.2555978000164032,0.6401914556821188,15.066921631495157,0.6608511755863825,0.16647791862487793,0.7232452432314554,0.02410817477438185
180,1,0.00019997947082408206,0.7478679769583737,0.38974907994270325,0.04238664358854294,0.3768662214279175,0.3131309151649475,0.4230213612318039,16.668927748998005,0.7062982122103373,0.16589593887329102,0.7857887943585714,0.02619295981195238
200,1,0.00019997261204267072,0.6907593405590651,0.623741865158081,0.05098965764045715,0.3531254529953003,0.28032195568084717,0.5843492448329926,15.575483798980713,0.678796390692393,0.16502976417541504,0.8542962352434794,0.028476541174782648
220,2,0.00019996476657949924,0.6574961082970339,0.3901471495628357,0.04402349516749382,0.32321298122406006,0.2973277270793915,0.5693895717461904,15.655509154001871,0.6680932367841402,0.1657092571258545,0.9282124916712443,0.030940416389041478
240,2,0.00019995593451238784,0.6352162017259947,0.47792163491249084,0.040408119559288025,0.3978537321090698,0.27443569898605347,0.478633979956309,16.36513090133667,0.6905496666828791,0.15867233276367188,0.9993196169535319,0.033310653898451066
260,2,0.00019994611592894285,0.6266183123699633,0.4189293384552002,0.053364962339401245,0.5340166091918945,0.42023414373397827,0.43998218700289726,17.078909317652386,0.7069813857475916,0.15945720672607422,1.0603451013565064,0.03534483671188354
280,2,0.00019993531092655617,0.6320548876957496,0.5219464302062988,0.0418875515460968,0.41474854946136475,0.2694692313671112,0.4296209091941516,16.840769290924072,0.7033955007791519,0.15813040733337402,1.1265454610188803,0.03755151536729601
300,2,0.00019992351961240396,0.6182956185212851,0.3394883871078491,0.03698211908340454,0.3604252338409424,0.3450438976287842,0.3997788851459821,16.237427234649658,0.6967149376869202,0.15818548202514648,1.1868424614270527,0.03956141538090176
320,2,0.0001999107421034458,0.6102730715812321,0.5428294539451599,0.040399011224508286,0.32682061195373535,0.25467580556869507,0.4403229107459386,16.745256026585896,0.7017741153637568,0.15874934196472168,1.2504579067230224,0.04168193022410075
340,2,0.0001998969785264235,0.5971147462086351,0.6010637879371643,0.07039295881986618,0.3772889971733093,0.30795344710350037,0.5741191729903221,15.76828940709432,0.6898942465583483,0.15817856788635254,1.3123090505599975,0.043743635018666585
360,2,0.00019988222901785968,0.5892464773154221,0.3356838524341583,0.043702464550733566,0.3824421763420105,0.3550388514995575,0.40964344640572864,15.419408877690634,0.6670661593476931,0.15853023529052734,1.372502358754476,0.045750078625149196
380,2,0.00019986649372405677,0.5766389125236319,0.4483596384525299,0.04282691329717636,0.3786447048187256,0.32354897260665894,0.6812829474608103,14.429855028788248,0.6803741579254469,0.1582944393157959,1.4328707893689474,0.04776235964563158
400,2,0.00019984977280109505,0.5949946991533748,0.4255984425544739,0.034373365342617035,0.40180009603500366,0.34216153621673584,0.5920378242929777,15.46389094988505,0.6896406834324201,0.15834498405456543,1.4927669048309327,0.049758896827697754
420,2,0.00019983206641483164,0.5900155655651026,0.5749703049659729,0.040816813707351685,0.34088748693466187,0.22978994250297546,0.5724057207504908,15.802899678548178,0.7048048575719198,0.15945982933044434,1.5590195775032043,0.05196731925010681
440,3,0.0001998133747408984,0.5789482657641661,0.43489977717399597,0.043643444776535034,0.34396761655807495,0.302345335483551,0.41944023221731186,16.52951757113139,0.7121501018603643,0.158677339553833,1.6326350450515748,0.054421168168385825
460,3,0.00019979369796470058,0.5687762660826522,0.29201218485832214,0.025685977190732956,0.32801175117492676,0.2675580382347107,0.4695657901465893,16.911424080530804,0.7124371007084846,0.15839385986328125,1.691817545890808,0.05639391819636027
480,3,0.00019977303628141455,0.5577061298804776,0.3401269316673279,0.031200602650642395,0.3338449001312256,0.29671770334243774,0.4469296510020892,16.206907431284588,0.7193977733453115,0.15838360786437988,1.7566860636075339,0.05855620212025112
500,3,0.00019975138989598628,0.5529630887085274,0.33553510904312134,0.026172492653131485,0.29593127965927124,0.22921967506408691,0.5496211151281992,15.858031670252482,0.6982012962301573,0.1583726406097412,1.8205908060073852,0.060686360200246176
520,3,0.00019972875902312913,0.5549711197898514,0.5442410111427307,0.05031418055295944,0.3665931820869446,0.29873543977737427,0.42826109131177265,16.286413113276165,0.7095947538812956,0.15919733047485352,1.8835792978604635,0.06278597659534878
540,3,0.00019970514388732163,0.5429669691114223,0.3979441821575165,0.03881676495075226,0.34465163946151733,0.3273269236087799,0.4867706447839737,16.28271754582723,0.710754876335462,0.15880131721496582,1.942335029443105,0.06474450098143683
560,3,0.00019968054472280534,0.5397159978969428,0.4091942012310028,0.038492582738399506,0.2798752784729004,0.27538859844207764,0.5118588941792647,16.122532447179157,0.7258154352506002,0.1596083641052246,2.0006287256876627,0.06668762418958876
